Accepts Apple Pay,business_accepts_bitcoin,business_accepts_creditcards,Accepts Google Pay,alcohol,ambience,restaurants_attire,best_nights,bike_parking,byappointmentonly,Cannabis Products,caters,coat_check,restaurants_delivery,dogs_allowed,drive_thru,Gender Neutral Restrooms,Good For,good_for_dancing,restaurants_good_for_groups,good_for_kids,Good for Working,happy_hour,Has Dairy-free Options,Has Gluten-free Options,Has Halal Options,Has Kosher Options,Has Pool Table,Has Soy-free Options,has_tv,Liked by Vegans,Liked by Vegetarians,Music,noise_level,Offers Military Discount,Open to All,outdoor_seating,business_parking,smoking,restaurants_takeout,restaurants_reservations,Waiter Service,wheelchair_accessible,wifi,business_id
Null,Null,Yes,Null,Null,Null,Casual,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Null,Null,Null,Yes,No,Null,Null,Null,XBIaV-NJ-OxyAd_rsiBr2A
No,Null,Yes,No,Full Bar,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Yes,Null,No,gBy6UXTpoSHhW6qd15XU0g
No,Null,Yes,No,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Lunch, Late Night",Null,Yes,Yes,Null,Null,,Yes,,,Null,Yes,Yes,Yes,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,No,Null,Free,qkyCuFJF2Uboh6n2Lmuwlg
No,Null,Yes,No,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Lunch, Late Night",Null,Yes,Yes,Null,Null,,Yes,,,Null,Yes,Yes,Yes,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,No,Null,Free,qkyCuFJF2Uboh6n2Lmuwlg
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,izvmwI3kSYIt-a6vA4gUMw
No,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,No,HbN0Qx_4QnzPcVNZy9PUVA
Null,Null,Yes,Null,Full Bar,Null,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,Breakfast,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,QcdKTLeP3J5Ki-fVcPZkfA
Null,Null,Yes,Null,No,Casual,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Null,Null,Yes,No,Null,Null,No,OwL4BM7GchsxBXxWrkmmqw
Null,Null,Yes,Null,Beer & Wine Only,Null,Casual,Null,Null,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Loud,Null,,No,Null,Null,Yes,No,Null,Null,Null,24f5ie972m_bYpirVW-dZA
Null,Null,Null,Null,No,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Null,Null,Null,Yes,No,Null,Null,No,i5vy3X8WBjQ-F7P8HqC7KA
No,Null,Yes,No,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch, Dessert",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Loud,Null,,No,Garage,Null,Yes,No,No,Null,Free,sUMi2q41l4AzOsmJMRY8zQ
No,Null,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Yes,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,WSGHEQdcdbBWXDpna99EiQ
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,No,Null,Yes,Null,Null,Yes,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,wqFkAsxYPA5tcdSkYMtrrw
Null,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,No,f5sSn5cO4t6mF_mdnzKkyA
No,Null,Yes,Null,No,Divey,Null,Null,No,Null,,No,Null,No,Null,No,Null,"Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Street,Null,Yes,No,No,Null,No,6-lmL3sC-axuh8y1SPSiqg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Null,Null,Null,Null,Null,D0lM6bi-sovThoQdRVGgGg
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,GdE5ZF7XMDyjwBVB_5qszA
Null,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,Brunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Null,Null,Yes,No,Null,Null,No,2nEhcvxBZk2W4x_fi0cYxw
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,No,LA9j7bDQLkDmLspdHwL3Bg
Null,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,Brunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Null,Null,Yes,No,Null,Null,No,2nEhcvxBZk2W4x_fi0cYxw
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,No,LA9j7bDQLkDmLspdHwL3Bg
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,oYWixgv1kiPV1j02TYzaPA
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Null,Null,Null,Null,Null,mVIU34pAjLCmRpftGPaH1A
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Street,Null,Null,Null,Null,Null,Null,3AEWSso6YdRb00SICNKn7Q
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Yes,"Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,nGjqCFbLPeBJe55Mx-nIEw
Yes,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Yes,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,ru35Z92NtGynsmw0iZDarQ
Null,Null,Yes,Null,No,Null,Null,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Average,Null,,Yes,Null,Null,Yes,No,Null,Null,Null,ygW1BY7co1ioTKmeWzJt-Q
Null,Null,Yes,No,No,Null,Null,Null,Yes,Null,,No,Null,No,Null,No,Null,"Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,RZGxU6bCoqgbi7xVB_UckQ
No,No,Yes,No,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Yes,Null,Null,"Breakfast, Lunch",Null,Yes,Yes,Null,Null,Yes,Yes,,Yes,Null,Yes,Yes,Yes,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Yes,Free,Qy_tDaVTWlS14fEglzo1Tg
No,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Yes,,Null,Private Lot,Null,Yes,Null,Null,Null,Free,AeOHcC1tKrogRUfKJ8OCqg
Null,Null,Yes,Yes,Full Bar,Null,Casual,Null,Yes,Null,,No,No,No,Null,Null,Null,Null,No,Yes,No,Null,Null,,Null,,,Yes,,Yes,Null,Null,Juke Box,Average,Null,,No,Private Lot,Yes,Yes,Yes,No,Null,Free,l3oWxCf7Y-X-fgAxNVR7-A
No,Null,Yes,Null,Beer & Wine Only,"Casual, Trendy, Classy",Casual,Null,Null,Null,,No,Null,No,No,Null,Yes,"Brunch, Lunch, Dinner",Null,Yes,Yes,Null,No,Yes,Yes,,,Null,Yes,No,Yes,Null,,Average,Null,,No,Null,Null,Yes,Yes,Yes,Yes,Free,y2plF1wqtEiOdzArakENfg
Null,Null,Yes,Null,Full Bar,Null,Casual,Null,Null,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Null,Null,,No,Null,Null,Yes,Null,Null,Null,Null,gqqHdBJqOVHDMy3jAdSkmw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Null,Null,Null,No,Null,Null,Null,vWcDq3HDcN8PsoErage4jA
No,Null,Yes,No,No,"Divey, Casual",Casual,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,G8LBVca1vOBKYeMCMpajGA
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Null,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,YnrJNjZsLIhvldYHtkxKrA
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Null,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Null,Null,Null,No,AQKOuwrOCacAhd-jfFMABA
Null,Null,Yes,Null,Full Bar,Null,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Yes,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Null,Yes,Null,Null,Null,8pLlsYgvrC5SJL1Con8FYw
No,No,Yes,Yes,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Dessert,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,9GPTELAPPpT5vUxad9AoCw
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,Null,JCiglfoF09JqfR_gn6XYcA
No,Null,Yes,No,Null,Null,Null,Null,Yes,Null,,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Yes,Yes,,Null,Null,,Null,"Valet, Garage, Street, Private Lot",Null,Yes,Null,Null,Null,Free,8eSmXnZG0N1GRsqiFeU9uA
Yes,No,Yes,No,No,"Hipster, Casual, Trendy",Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Yes,"Breakfast, Dessert",Null,Yes,Yes,Yes,Null,Yes,Null,,,Null,Yes,Yes,Null,Yes,,Average,Yes,,Yes,Private Lot,Null,Yes,No,No,Null,Free,ybHlmdUHLPKfv85bRK4Wtw
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Null,Null,Null,Null,Null,r-KT6NlBbfxR_L3t98qiDQ
No,Null,Yes,No,Full Bar,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Yes,Yes,No,iRFaq249LVEFGeXLzPULnQ
No,Null,Yes,Null,Full Bar,Divey,Null,"Thu, Fri, Sat",Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Yes,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Null,Null,Null,No,Null,Null,Null,X6TD8xLS_KMneyOGquOSVQ
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,64o_nYvzIKwHFOSYSEm-qw
No,Null,Yes,Yes,No,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Yes,"Breakfast, Brunch, Lunch, Dinner",Null,Yes,Yes,Null,Null,,Yes,,,Null,,No,Yes,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,tXqaK0lBEE1XJbzDPsdFvg
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Yes,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,No,Null,Free,2HxaDXZmAOH6LiuzGgNdPA
No,Null,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,5T0h9YCsXiDZyBsVIN9gcg
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Null,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Null,Null,Yes,Null,Null,Null,Null,fDpiXePaeKqbOfoxXxUKyw
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,zd4UKCoCc6P1305dummwyQ
No,Null,Yes,No,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Yes,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,dVhGY-mNwTWQzK01Zxuclw
No,No,Yes,No,Beer & Wine Only,Casual,Casual,Null,No,Null,,No,Null,No,No,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,Yes,Null,,,Null,Yes,Yes,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,Yes,Yes,No,4k3RlMAMd46DZ_JyZU0lMg
No,No,Yes,Null,Null,Null,Null,Null,Yes,Null,No,Yes,Null,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Yes,,Null,Private Lot,Null,Yes,Null,Null,Null,Null,U_svUGP1XhMTC0_GTZXpGA
Null,Null,Yes,Null,No,Null,Casual,Null,No,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,Free,lmNpuLiA6Jtn3lL2Ec43Qw
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Yes,Private Lot,Null,Null,Null,Null,Null,No,ezuzSOrWu3KhFKTtVAMWlQ
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Private Lot,Null,Yes,No,Null,Null,Null,0IbboCQAEQlROAv5PKKO_Q
Null,Null,Null,Null,Null,Null,Casual,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Null,Null,Yes,Null,Null,Null,Null,oQwadWTYQWahuj9N-68yPA
Null,Null,Yes,Null,Full Bar,Trendy,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,Yes,Private Lot,Null,Yes,Yes,Null,Null,No,MQiNywdecInMlkW06WYaCg
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Yes,Null,Null,Null,Null,Null,Null,Free,BthL-DpmauWs0-tDewBWug
No,Null,Yes,Yes,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,No,Null,No,No,Null,Null,"Dinner, Late Night",Null,Yes,Yes,Null,Null,Yes,Null,,Yes,Null,Yes,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,JyxHvtj-syke7m9rbza7mA
Yes,Null,Yes,Yes,No,Casual,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Yes,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,GxfgOFgUhv2rfr3FXVWfCg
Null,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,Asy49gKgikq_NkYsC_7c0Q
No,Null,Yes,Null,Full Bar,Null,Casual,"Mon, Fri, Sat",Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch, Late Night",No,Yes,No,Null,Null,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,fzpnaYOqBDjKnnAgFcgR8A
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Quiet,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,1nM-ES-xVqL0yQGTCwtd-Q
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,No,Yes,Null,Null,No,07gh-AImcEcWQ2bew-jprg
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,n0yMrpye4tLpmaTSzXRGuw
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Dessert,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,No,Null,No,TUpyKJFqL_ySZMo54pT-Sw
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,No,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,"Street, Private Lot",Null,Yes,No,Yes,Yes,Free,yo8yB3hdqvbvj8huzXpKWQ
No,Null,Yes,Null,Full Bar,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Dinner,Null,Yes,Yes,Null,Null,Yes,Null,,,Null,,Yes,Yes,Yes,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,t4bBKVXbr8bIN9nEJIobYg
Yes,Null,Yes,Null,Full Bar,"Divey, Casual",Casual,Null,No,Null,,No,Null,No,Null,Null,Null,Dinner,Null,Yes,No,Null,Null,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,w0ArxcJ0XsyK1ZwrIf3gpA
Null,Null,Yes,Null,Full Bar,Trendy,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Dinner, Late Night",Null,Yes,No,Null,Yes,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,Yes,Null,Null,Free,RQu_Bv7EFf5NKMnh_3E7Ag
No,Null,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,"Private Lot, Validated",Null,Yes,No,Null,Null,No,QteBKpZTRa2dJ3u7MLiXww
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,No,Null,Yes,Null,Null,Yes,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,Yes,,Null,,No,Null,Null,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,5gv6AqHXfi3gJV4fb432Vw
No,Null,Yes,No,No,Null,Null,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Loud,Null,,No,Garage,Null,Yes,No,Null,Null,No,5TY-YMiAXgBjmP_y4AiXhg
Null,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Yes,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,217u7Wad7y90x4el26-TIw
No,Null,Yes,No,No,Casual,Casual,Null,No,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,No,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Yes,Null,No,6hsXF2bRmrstSmwuHwI-kw
Null,Null,Yes,Null,Null,Null,Casual,Null,No,Null,,Yes,Null,No,Null,Null,Null,Null,Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,Null,vRFYqRz5F41ici5IOO2_pg
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Null,Null,Null,Yes,No,Null,Null,Null,TSNvD7vyrknurZ8H05iyVQ
Yes,Null,Yes,Yes,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Yes,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,k1l25o628GYC9BrnRzv1Tw
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,Null,Ub8goFppwZkOGTpfoWF4JA
No,Null,Yes,No,No,Divey,Casual,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,c2l80imPWR8V6gIEM02XPg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,No,No,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Null,Null,Null,No,Null,Null,Null,BUoV8s0j22KD_PzLm8BlkA
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,No,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,LA9KIu-g3VaoFQsYHL2yRA
No,Null,Yes,No,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Yes,Null,Yes,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Yes,Null,Yes,Null,,,Null,,No,Yes,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Yes,Free,hIUKufhwR6Ifn7bi0-phLA
No,Null,Yes,No,Null,Null,Null,Null,Yes,Null,,No,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,,Null,,,Null,,Null,Null,Yes,,Average,Null,,Null,Null,Null,Yes,Null,Null,Null,No,bG-JFEQjr0pAcgdz7eHkZw
Null,Null,Yes,Null,No,Divey,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,ROZCc1XMuAJpyhvTxotQ6w
Yes,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner, Late Night, Dessert",Null,Yes,Yes,Null,Null,,Null,Yes,,Null,,No,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,dFmaYj3_cZpmEaL4WSOkPg
No,Null,Yes,No,No,Divey,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,UANNbspNsQEFUay5nALZYw
