RestaurantName,LocationName,CategoryName,Address,City,State,Zip,CurrentGrade
Snow Cone El Paraiso Ice Cream,Snow Cone El Paraiso Ice Cream,Food Trucks / Mobile Vendor,1935 Fremont St,Las Vegas,Nevada,89101-5132,A
Solange's Ice Cream Truck,SOLANGE'S ICE CREAM TRUCK,Food Trucks / Mobile Vendor,1100 SEARLES St,Las Vegas,Nevada,89101,A
South Point Bingo Bar,South Point Hotel & Casino,Bar / Tavern,9777 Las Vegas Blvd,Las Vegas,Nevada,89183-4013,A
Spearmint Rhino Bar,Spearmint Rhino Gentlemen's Club,Bar / Tavern,3340 S Highland Dr,Las Vegas,Nevada,89109-3427,A
Sushi Mon Restaurant Sushi Bar,Sushi Mon Japanese Restaurant,Restaurant,9770 S Maryland Pkwy,Las Vegas,Nevada,89183-7142,A
TACO BELL #26,TACO BELL,Restaurant,2175 E CHEYENNE 120,North Las Vegas,Nevada,89107,A
THERAPY - UPSTAIRS WAIT STATION,THERAPY,Bar / Tavern,518 E FREMONT,Las Vegas,Nevada,89101,A
TROPICANA HAVANA BAR 3 DJ,TROPICANA LAS VEGAS HOTEL & CASINO,Bar / Tavern,3801 S Las Vegas Blvd,Las Vegas,Nevada,89109-4325,A
The Palms Mint Bar #2 - UPSTAIRS BAR,Palms Casino Resort,Bar / Tavern,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,A
VDARA COLD / HOT LINE,VDARA,Banquet Support,2600 W Harmon Ave,Las Vegas,Nevada,89158-4538,A
VDARA POOL CAFE SERVICE BAR,VDARA,Bar / Tavern,2600 W Harmon Ave,Las Vegas,Nevada,89158-4538,A
VENETIAN BLACK TAP RESTAURANT,VENETIAN HOTEL & CASINO,Restaurant,3355 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,A
Village Pub Summerlin Restaurant,Village Pub and Casino-Summerlin,Restaurant,2610 Regatta Dr,Las Vegas,Nevada,89128-6888,A
Vivido,VIVIDO,Snack Bar,1000 S Rampart Blvd 15,Las Vegas,Nevada,89145-8531,A
WESTGATE FOOTBALL SEASONAL (9/11/16 - 5/11/17),WESTGATE HOTEL AND CASINO,Portable Unit,3000 S Paradise Rd,Las Vegas,Nevada,89109-1287,A
WESTIN LLV EMPLOYEE CAFE,WESTIN LAKE LAS VEGAS RESORT,Restaurant,101 MONTELAGO Blvd,Henderson,Nevada,89011,A
WESTIN LLV POOL SNACK BAR,WESTIN LAKE LAS VEGAS RESORT,Snack Bar,101 MONTELAGO Blvd,Henderson,Nevada,89011,A
WYNN POOL SERVICE BAR 1,WYNN HOTEL & CASINO,Bar / Tavern,3131 S Las Vegas Blvd,Las Vegas,Nevada,89109-1929,A
Winchell's Donut House #415,Winchell Donut House,Restaurant,701 N Decatur Blvd,Las Vegas,Nevada,89107-1913,A
in-N-Out Burger #226,IN-N-OUT BURGER #226,Restaurant,9610 W Tropicana Ave,Las Vegas,Nevada,89147-8290,A
7-Eleven #16052 - Deli,7-Eleven Food Store #16052 F,Snack Bar,2919 S Nellis Blvd,Las Vegas,Nevada,89121-2021,A
ARIA EDR BUFFET,CITY CENTER HOTELS,Buffet,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,A
ARIZONA CHARLIE'S EAST REMOTE DISH/POT,ARIZONA CHARLIE'S EAST CASINO,Special Kitchen,4575 Boulder Hwy,Las Vegas,Nevada,89121-3011,A
Albertsons #129 Produce Department,Albertsons #129,Produce Market,5975 W Tropicana Ave,Las Vegas,Nevada,89103-4814,A
BALLYS LAS VEGAS COFFEE PANTRY,BALLY'S GRAND HOTEL,Banquet Kitchen,3645 S Las Vegas Blvd,Las Vegas,Nevada,89119,A
BELLS MARKET II SNACK BAR,BELLS MARKET II,Snack Bar,515 E Oakey Blvd,Las Vegas,Nevada,89104-1402,A
Black Sheep Ink,Black Sheep Ink,Confection,4455 S Buffalo Dr,Las Vegas,Nevada,89147-5006,A
Boma's Bar,Boma's Bar & Grill,Bar / Tavern,8020 S Durango Dr,Las Vegas,Nevada,89113-4412,A
Boulevard Grille,Boulevard Bar & Grille,Restaurant,9860 S Las Vegas Blvd,Las Vegas,Nevada,89183-4019,A
Brio Tuscan Grille - Outside Bar,Brio Tuscan Grille,Bar / Tavern,6653 Las Vegas Blvd,Las Vegas,Nevada,89119-3271,A
Brio Tuscan Grille - Pizza & Warewashing,Brio Tuscan Grille,Special Kitchen,6653 Las Vegas Blvd,Las Vegas,Nevada,89119-3271,A
C R Bun's Bar,C R Buns Grill & Bar,Bar / Tavern,467 E Silverado Ranch Blvd,Las Vegas,Nevada,89183-6214,A
CAESARS GORDON RAMSAY BAR,CAESARS PALACE HOTEL & CASINO,Bar / Tavern,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,A
CAESARS MESA GRILL BAR,CAESARS PALACE HOTEL & CASINO,Bar / Tavern,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,A
CAPRIOTTIS,CAPRIOTTI'S,Restaurant,2600 NATURE PARK,North Las Vegas,Nevada,89084,A
CARLEY'S PIZZA,CARLEY'S PIZZA,Restaurant,123 S MOAPA VALLEY,Overton,Nevada,89040,A
CENTERPLATE NORTH KITCHEN BULK COOKING MC,CENTERPLATE @ LVCC,Special Kitchen,3150 PARADISE Rd,Las Vegas,Nevada,89109,A
CENTERPLATE SOUTH KITCHEN PANTRY SH,CENTERPLATE @ LVCC,Pantry,3150 PARADISE Rd,Las Vegas,Nevada,89109,A
CENTRAL LITTLE LEAGUE OF LAS VEGAS @ FREEDOM PARK,LAS VEGAS CENTRAL LITTLE LEAGUE,Concessions,850 N Mojave,Las Vegas,Nevada,89101,A
CHECKERS RESTAURANT,CHECKERS,Restaurant,4501 PARADISE P,Las Vegas,Nevada,89109,A
CHICAGO DOGS,CHICAGO DOGS,Restaurant,1078 N RANCHO Dr,Las Vegas,Nevada,89106,A
COSMO BUFFET COMFORT P2,COSMOPOLITAN RESORT & CASINO,Buffet,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSMO BUFFET SERVICE BAR P2,COSMOPOLITAN RESORT & CASINO,Bar / Tavern,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSTCO #685 SUMMERLIN SEAFOOD SIDESHOW SEASONAL (11/22/13 - 7/22/14),Costco Wholesale Grocery #685,Portable Unit,801 S Pavilion Center Dr,Las Vegas,Nevada,89144-4566,A
CRACKER BARREL - PREP/WAREWASH/STORAGE,CRACKER BARREL OLD COUNTRY STORE,Special Kitchen,8350 DEAN MARTIN Dr,Las Vegas,Nevada,89139,A
CROMWELL GIADA PIZZA & ANTIPASTO,"CROMWELL LAS VEGAS, THE",Special Kitchen,3595 S Las Vegas Blvd,Las Vegas,Nevada,89109-8918,A
Canyon Gate Country Club - Catering,Canyon Gate Country Club,Caterer,2001 Canyon Gate Dr,Las Vegas,Nevada,89117-5846,A
Chicago Joe's Restaurant,Chicago Joes Restaurant,Restaurant,820 S 4Th St,Las Vegas,Nevada,89101-6709,A
Circle K Store #1254 - Deli,Circle K Store #1254,Snack Bar,3435 N Rancho Dr,Las Vegas,Nevada,89130-3125,A
"DIVE, THE","DIVE, THE",Bar / Tavern,4110 S Maryland Pkwy 14,Las Vegas,Nevada,89119,A
DOTTY'S #54,DOTTY'S #54,Bar / Tavern,5990 Losee Rd,North Las Vegas,Nevada,89081-6203,A
DTG COMMISSARY-TORTAS,DOWNTOWN GRAND HOTEL & CASINO,Restaurant,206 N 3RD St,Las Vegas,Nevada,89101,A
DTG E TOWER COMMON GROUND,DOWNTOWN GRAND HOTEL & CASINO,Snack Bar,206 N 3RD St,Las Vegas,Nevada,89101,A
DUNKIN' DONUTS #353348 - EDGEWATER,EDGEWATER - DUNKIN DONUTS,Snack Bar,2020 S CASINO Dr,Laughlin,Nevada,89029,A
Dollar Discount Food Mart Grocery Prep,Discount Food Mart,Grocery Store Sampling,5030 E Tropicana Ave 1,Las Vegas,Nevada,89122-6750,A
EL SALVADOR 503,EL SALVADOR 503,Restaurant,1745 S RAINBOW Blvd C,Las Vegas,Nevada,89146,A
ETHEL M CHOCOLATE SNACK BAR,Ethel M Chocolate,Snack Bar,2 Cactus Garden Dr,Henderson,Nevada,89014,A
FIVE STAR TAVERN BAR #56,FIVE STAR TAVERN,Bar / Tavern,4420 E CHARLESTON Blvd 2,Las Vegas,Nevada,89110,A
FLAMINGO BUFFET FOOD PRODUCTION,FLAMINGO LV HOTEL & CASINO,Special Kitchen,3555 S Las Vegas Blvd,Las Vegas,Nevada,89109-8901,A
FOR GOODNESS SHAKE,FOR GOODNESS SHAKE,Restaurant,4220 S GRAND CANYON Dr 8,Las Vegas,Nevada,89141,A
FROGGIES SNOW CONE SHACK,FROGGIES SNOW CONE SHACK,Portable Unit,8150 S MARYLAND Pkwy,Las Vegas,Nevada,89123,A
FRUIT ZONE SEASONAL (4/30/13 - 12/30/13)  DEL 9/11/13,FRUIT ZONE,Portable Unit,2219 E FREMONT,Las Vegas,Nevada,89101,A
GINSENG BAR B Q II RESTAURANT,GINSENG BAR B Q,Restaurant,3765 S Las Vegas Blvd C-F,Las Vegas,Nevada,89109-4320,A
Golden Nugget Rush Lounge Bar,Golden Nugget Las Vegas,Bar / Tavern,129 E Fremont St,Las Vegas,Nevada,89101-5603,A
HARD ROCK REHAB_OUTDOOR PUSF,HARD ROCK HOTEL & CASINO,Portable Unit,4455 S Paradise Rd,Las Vegas,Nevada,89169-6574,A
HARD ROCK ROOM SVC WAREWASH,HARD ROCK HOTEL & CASINO,Special Kitchen,4455 S Paradise Rd,Las Vegas,Nevada,89169-6574,A
HARRAH'S Banquet Staging and Store Room,Harrah's Hotel - Laughlin,Special Kitchen,2900 S Casino Dr,Laughlin,Nevada,89029-1521,A
HARRAH'S Super Service Well,Harrah's,Bar / Tavern,2900 S Casino Dr,Laughlin,Nevada,89029-1521,A
HI SCORES BARCADE BAR,HI SCORES,Bar / Tavern,65 S STEPHANIE St,Henderson,Nevada,89012,A
HUNTRIDGE DINER,HUNTRIDGE DRUG MARKET,Restaurant,1122 E Charleston Blvd,Las Vegas,Nevada,89104-1558,A
Hitchin' Post Saloon Bar,Hitchin Post Saloon,Bar / Tavern,3650 N Las Vegas Blvd,Las Vegas,Nevada,89115-1599,A
INDIA PALACE SERVICE BAR,INDIA PALACE,Bar / Tavern,505 E Twain Ave,Las Vegas,Nevada,89169-4925,A
JACKPOT BAR AND GRILL BAR,JACKPOT BAR AND GRILL,Bar / Tavern,4360 S DECATUR D,Las Vegas,Nevada,89103,A
JAMMIN JERK HUT BAR,JAMMIN JERK HUT,Bar / Tavern,3333 S Maryland Pkwy,Las Vegas,Nevada,89169-3098,A
JOANNO'S CHICKEN & RIBS,JOANNO'S CHICKEN & RIBS,Restaurant,1665 NEVADA HIGHWAY,Boulder City,Nevada,89111,A
Jack in the Box #7236,JACK IN THE BOX #7236,Restaurant,5 S Gibson Rd,Henderson,Nevada,89012-2488,A
Jonathan Ice Cream #2,Jonathan Ice Cream Truck,Food Trucks / Mobile Vendor,1624 Euclid Ave,Las Vegas,Nevada,89104-4053,A
KABA CURRY - deleted 3/10/16 cm,KABA CURRY,Restaurant,5115 W SPRING MOUNTAIN Rd 234,Las Vegas,Nevada,89103,A
KLUB DEEN'S AFRICAN CUISINE,KLUB DEEN'S AFRICAN CUISINE,Restaurant,953 E SAHARA Ave E22,Las Vegas,Nevada,89104,A
KUWA NIGHT CLUB - BAR,CULICHITOWN @ FIESTA RANCHO,Bar / Tavern,2400 N RANCHO Dr,Las Vegas,Nevada,89130,A
LAUGHLIN RIVER LODGE GENERAL STORE SNACK BAR,LAUGHLIN RIVER LODGE,Snack Bar,2700 S CASINO Dr,Laughlin,Nevada,89029,A
LAUGHLIN RIVER LODGE PRODUCTION KITCHEN,LAUGHLIN RIVER LODGE,Special Kitchen,2700 S CASINO Dr,Laughlin,Nevada,89029,A
LIFEWORKS,LIFEWORKS @ CAPITAL ONE,Restaurant,1111 N TOWN CENTER,Las Vegas,Nevada,89144,A
LUXOR RICE & COMPANY SERVICE BAR 1,LUXOR HOTEL & CASINO,Bar / Tavern,3900 S Las Vegas Blvd,Las Vegas,Nevada,89119-1004,A
Lake Mead Lounge Bar #2,WILDFIRE,Bar / Tavern,846 E Lake Mead Pkwy,Henderson,Nevada,89015-5558,A
Market Grille Cafe,Market Grille Cafe,Restaurant,7920 W Tropical Pkwy,Las Vegas,Nevada,89149-4542,A
Mobil Eastern & Warm Springs - Snack Bar,Mobil Eastern & Warm Springs,Snack Bar,7295 S Eastern Ave,Las Vegas,Nevada,89119-4507,A
Mt Charleston Resort Snack Bar,Mt Charleston Resort,Snack Bar,2275 Kyle Canyon Rd,Las Vegas,Nevada,89124-9283,A
NATHANS BALLYS,BONANNO FOOD COURT @ BALLY'S,Snack Bar,3645 S Las Vegas Blvd,Las Vegas,Nevada,89109-4321,A
NEW PIONEER BUMBLEBERRY FRONTLINE & PANTRY,THE NEW PIONEER HOTEL,Pantry,2200 S Casino Dr,Laughlin,Nevada,89029,A
NOBU LOUNGE,HARD ROCK - NOBU,Bar / Tavern,4455 S Paradise Rd,Las Vegas,Nevada,89169-6574,A
PICANTE MEXICAN GRILL BBQ,PICANTE CAFE,Barbeque,549 E SAHARA 104,Las Vegas,Nevada,89104,A
PIEROGI CAFE,PIEROGI CAFE,Restaurant,1717 S DECATUR B-5,Las Vegas,Nevada,89102,A
PURE FIT MEAL PREP,PURE FIT MEAL PREP,Restaurant,5165 W OQUENDO Rd,Las Vegas,Nevada,89118,A
Palms Employee Dining Room Dishroom,Palms Casino Resort,Special Kitchen,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,A
Palms Main Kitchen Dishwashing,Palms Casino Resort,Special Kitchen,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,A
Panda Express #421,PANDA EXPRESS @ VON'S,Restaurant,1940 Village Center Cir,Las Vegas,Nevada,89134-6236,A
Panini Cafe - Meat,Panini Cafe,Restaurant,2521 S Fort Apache Rd 100,Las Vegas,Nevada,89117-8701,A
Pele & Payo's Ice Cream #2,Pele & Payo's Ice Cream,Food Trucks / Mobile Vendor,1525 Linden Ave,Las Vegas,Nevada,89101-3222,A
REAL LUNCHES,REAL LUNCHES,Restaurant,3850 E DESSERT INN Rd,Las Vegas,Nevada,89121,A
RED ROCK EDR SALAD STATION,RED ROCK CASINO RESORT & SPA,Special Kitchen,11011 W Charleston Blvd,Las Vegas,Nevada,89135-1402,A
RED ROCK GRAND CAFE RESTAURANT,RED ROCK CASINO RESORT & SPA,Restaurant,11011 W Charleston Blvd,Las Vegas,Nevada,89135-1402,A
RED ROCK LIBRE BAR,RED ROCK CASINO RESORT & SPA,Bar / Tavern,11011 W Charleston Blvd,Las Vegas,Nevada,89135-1402,A
RED SQUARE PREP KIT / WALK-IN SATELLITE,RED SQUARE @ MANDALAY BAY,Special Kitchen,3950 S Las Vegas Blvd,Las Vegas,Nevada,89119-1005,A
Rosie's Pizzeria #807,Rosie's @ BUFFALO BILL'S,Restaurant,31700 S Las Vegas Blvd,Primm,Nevada,89019-7000,A
SAMURAI SAM'S TERIYAKI GRILL CATERING,SAMURAI SAMS TERIYAKI GRILL @ LIBERTY HIGH SCHOOL,Caterer,3700 LIBERTY HEIGHTS,Henderson,Nevada,89052,A
SANTA FE BUFFET MAIN KITCHEN,Santa Fe Station Hotel & Casino,Special Kitchen,4949 N Rancho Dr,Las Vegas,Nevada,89130-3505,A
SIERRA GOLD RESTAURANT,SIERRA GOLD,Restaurant,9580 W FLAMINGO,Las Vegas,Nevada,89147,A
SIGNATURE TOWER 1 ROOM SERVICE GARDE MANGER,"SIGNATURE @ MGM GRAND, THE",Garde Manger,145 E Harmon Ave,Las Vegas,Nevada,89109-4504,A
SIGNATURE TOWER 1 STARBUCKS,"SIGNATURE @ MGM GRAND, THE",Snack Bar,145 E Harmon Ave,Las Vegas,Nevada,89109-4504,A
SIN CITY THAI RESTAURANT,SINCITY THAI RESTAURANT,Restaurant,4850 W Sunset Rd 115,Las Vegas,Nevada,89118-4350,A
STEPHANO'S GREEK AND MEDITERRANEAN GRILL,STEPHANO'S GREEK AND MEDITERRANEAN GRILL,Restaurant,10612 S EASTERN Ave,Henderson,Nevada,89052,A
SUSHI TAKASHI RESTAURANT,SUSHI TAKASHI,Restaurant,5300 W SPRING MOUNTAIN 102,Las Vegas,Nevada,89146,A
SUTHERLAND GLOBAL SERVICES,SUTHERLAND GLOBAL SERVICES,Restaurant,8725 W SAHARA,Las Vegas,Nevada,89117,A
Smoothie King,Smoothie King,Restaurant,6530 N Buffalo Dr 150,Las Vegas,Nevada,89131,A
Stetson's Bar,Stetson's,Bar / Tavern,754 S Boulder Hwy,Henderson,Nevada,89015-7589,A
Sushi Mon Restaurant,Sushi Mon Japanese Restaurant,Restaurant,9770 S Maryland Pkwy,Las Vegas,Nevada,89183-7142,A
TACOS LOS PARADOS,TACOS LOS PARADOS,Portable Unit,400 N EASTERN,Las Vegas,Nevada,89101,A
TELUS INTERNATIONAL EDR,TELUS INTERNATIONAL,Restaurant,2251 S DECATUR Blvd,Las Vegas,Nevada,89102,A
TERIYAKI MADNESS,TERIYAKI MADNESS,Restaurant,6171 N Decatur Blvd 110,Las Vegas,Nevada,89130,A
TERIYAKI MADNESS,TERIYAKI MADNESS,Restaurant,72 W HORIZON RIDGE Pkwy 105,Henderson,Nevada,89012,A
THREE SQUARE CATERING,THREE SQUARE - SFSP,Caterer,4190 N PECOS Rd,Las Vegas,Nevada,89115,A
TMA - EA1 CEN KIT WAREWASH,LEVY @ T-MOBILE ARENA,Special Kitchen,3780 S LAS VEGAS,Las Vegas,Nevada,89158,A
TOP GOLF PUBLIC BAR #6 - LEVEL 4,TOP GOLF,Bar / Tavern,4627 KOVAL Ln,Las Vegas,Nevada,89109,A
Taco Bell #29 - DELETED 7/15/16 CLIENT - CLOSED 12/22/15,Taco Bell #29,Restaurant,4292 Blue Diamond Rd,Las Vegas,Nevada,89139-7719,A
Tacos Estephanie Seasonal (1/20/12 - 9/20/12),Tacos Estephanie,Portable Unit,1021 E Charleston,Las Vegas,Nevada,89104,A
Target #T2404 - Snack Bar,Target #T2404,Snack Bar,350 W Lake Mead Pkwy,Henderson,Nevada,89015-7379,A
Texas Station Employee Dining Room,Texas Station Gambling Hall & Hotel,Restaurant,2101 N Texas Star Ln,North Las Vegas,Nevada,89032,A
UMEZONO SUSHI AND JAPANESE GRILL SUSHI BAR,UMEZONO SUSHI AND JAPANESE GRILL,Snack Bar,9700 W TROPICANA 100,Las Vegas,Nevada,89147,A
WINCHELL'S PUB - BAR,Winchell's Pub,Bar / Tavern,10620 S Eastern Ave,Henderson,Nevada,89052-2926,A
Wendy's #3119,Wendy's #3119,Restaurant,844 N Rancho Dr,Las Vegas,Nevada,89106-3709,A
World Market Center Restaurant,World Market Center,Restaurant,495 S Grand Central Pkwy 2203,Las Vegas,Nevada,89106-4555,A
Yummy House,Yummy House,Restaurant,4944 E Tropicana Ave C,Las Vegas,Nevada,89121-6729,A
570 PT'S GOLD (HUNTINGTON) FORT APACHE,570 PT'S GOLD (HUNTINGTON) FORT APACHE,Restaurant,8275 S FORT APACHE Rd,Las Vegas,Nevada,89111,A
AGO at the Hard Rock Restaurant  DELETED,Hard Rock Hotel & Casino,Restaurant,4455 Paradise Rd,Las Vegas,Nevada,89169-6574,A
AKROPOLIS,AKROPOLIS,Restaurant,1690 W SUNSET Rd 104,Henderson,Nevada,89014,A
ARIA CONCIERGE CLUB LEVEL,ARIA HOTEL & CASINO,Restaurant,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,A
ARIA HERRINGBONE MAIN BAR,CITY CENTER HOTELS,Bar / Tavern,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,A
Aliante FARM,Aliante Hotel & Casino,Restaurant,7300 Aliante Pkwy,North Las Vegas,Nevada,89084,A
Arby's #1842,Arbys Roast Beef #1842,Restaurant,725 N Nellis Blvd,Las Vegas,Nevada,89110,A
Arby's #5277,Arby's,Restaurant,6010 W Flamingo Rd,Las Vegas,Nevada,89103-2367,A
BEACH HUT DELI,BEACH HUT DELI,Restaurant,9500 S EASTERN Ave 180,Las Vegas,Nevada,89123,A
Boulder Pit Stop,Boulder Pit Stop,Restaurant,802 Buchanan Blvd,Boulder City,Nevada,89005-2147,A
Boulder Station Starbucks,Boulder Station Hotel & Casino,Restaurant,4111 Boulder Hwy,Las Vegas,Nevada,89121-2510,A
CAESARS BALLROOM PROD KITCHEN,CAESARS PALACE HOTEL & CASINO,Special Kitchen,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,A
CAFE DE CEBU - Deleted 11/21/16  CM   Bus Closed,CAFE DE CEBU - DELETED,Restaurant,6680 W FLAMINGO Rd 12,Las Vegas,Nevada,89103,A
CAPRIOTTI'S SANDWICH SHOP,CAPRIOTTI'S SANDWICH SHOP,Restaurant,4825 S Fort Apache Rd K,Las Vegas,Nevada,89147-7957,A
CARL'S JR #8108,CARL'S JR #8108,Restaurant,715 S Green Valley Pkwy,Henderson,Nevada,89052-0439,A
CIRCUS CASINO SERVICE BAR,CIRCUS CIRCUS CASINO,Bar / Tavern,2880 S Las Vegas Blvd,Las Vegas,Nevada,89109-1138,A
COSMO BUTCHER SHOP B2,COSMOPOLITAN RESORT & CASINO,Meat/Poultry/Seafood,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSMO JALEO RESTAURANT P3,COSMOPOLITAN RESORT & CASINO,Restaurant,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSTCO SEAFOOD ROADSHOW SEASONAL (9/30/16 - 5/30/17),Costco Wholesale,Portable Unit,6555 N Decatur Blvd,Las Vegas,Nevada,89131,A
"CREPE EXPRESS MOBILE, THE","CREPE EXPRESS, THE MOBILE",Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,Nevada,89102,A
DELMONICO HOT LINE,DELMONICO STEAKHOUSE @ VENETIAN,Special Kitchen,3355 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,A
Dakao Bakery - Deli,Dakao Bakery,Snack Bar,5700 W Spring Mountain,Las Vegas,Nevada,89146,A
ENCORE BEACH CLUB BBQ PANTRY,ENCORE HOTEL & CASINO,Pantry,3121 S Las Vegas Blvd,Las Vegas,Nevada,89109-1967,A
Eastside Cannery Snaps Expo Line,Eastside Cannery Casino,Bar / Tavern,5255 Boulder Hwy,Las Vegas,Nevada,89122-6005,A
FELIPE'S TACOS #4,FELIPE'S TACOS #2,Portable Unit,6450 W LAKE MEAD Blvd 110,Las Vegas,Nevada,89108,A
FERRAROS RESTAURANT,FERRAROS,Restaurant,4480 Paradise Rd 100,Las Vegas,Nevada,89169-6532,A
FLAVOR BOMB MOBILE,FLAVOR BOMB MOBILE,Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,Nevada,89127,A
FLIP N OUT PORTABLE UNIT - DELETED 7/1/16 LR,FLIP N OUT,Portable Unit,1841 E Craig Rd,North Las Vegas,Nevada,89030-3391,A
FROST BITE SHAVED ICE PUSF TRAILER - DELETED 10/15,FROST BITE SHAVED ICE,Portable Unit,7235 S RAINBOW,Las Vegas,Nevada,89118,A
Famous Famiglia,Famous Famiglia @ PALMS HOTEL,Restaurant,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,A
Fletcher Jones Coffee Bar #1,Fletcher Jones Mercedes Benz,Snack Bar,7300 W Sahara Ave,Las Vegas,Nevada,89117-2756,A
GOLDEN NUGGET BUFFET SIDE STATION/DISH AREA,Golden Nugget Las Vegas,Special Kitchen,129 E Fremont St,Las Vegas,Nevada,89101-5603,A
Golden Nugget Buffet Side Stations,Golden Nugget Las Vegas,Special Kitchen,129 E Fremont St,Las Vegas,Nevada,89101-5603,A
HASH HOUSE A GO GO RESTAURANT,HASH HOUSE A GO GO,Restaurant,555 N STEPHANIE St,Henderson,Nevada,89014,A
HAWAIIAN SHAVED ICE MOBILE,HAWAIIAN SHAVED ICE MOBILE,Food Trucks / Mobile Vendor,1100 Searles,Las Vegas,Nevada,89101,A
HGV CLUB @ FLAMINGO LV BUGSYS BAR,HGV @ FLAMINGO LV,Bar / Tavern,3575 S Las Vegas Blvd,Las Vegas,Nevada,89109-8919,A
HOT DOG ON A STICK - WARM SPRINGS,HOT DOG ON A STICK - WARM SPRINGS,Restaurant,1659 W WARM SPRINGS,Henderson,Nevada,89014,A
Inaka Sushi - Sushi Bar,Inaka Sushi,Restaurant,9285 S Cimarron Rd 100,Las Vegas,Nevada,89178-2550,A
JERRY'S NUGGET MAIN PREP KITCHEN,Jerry's Nugget,Special Kitchen,1821 N Las Vegas Blvd,North Las Vegas,Nevada,89030-6936,A
JUICE BAR @ LVAC FLAMINGO,Las Vegas Athletic Club,Snack Bar,9615 W Flamingo Rd,Las Vegas,Nevada,89147-5735,A
JUMPING RICE & ROLLS,JUMPING RICE & ROLLS,Restaurant,9484 W FLAMINGO Rd 175,Las Vegas,Nevada,89147,A
Jersey Mike's Subs,JERSEY MIKE'S SUBS,Restaurant,8780 W Charleston Blvd 102,Las Vegas,Nevada,89117-5464,A
Johnny Fontane's Hideaway,Johnny Fontanes Hideaway,Bar / Tavern,1695 N Nellis Blvd,Las Vegas,Nevada,89115-6607,A
KU NETWORKS AMERICA @ SMITHS,KU NETWORKS AMERICA @ SMITHS,Snack Bar,4840 W DESERT INN,Las Vegas,Nevada,89102,A
KUNG PAO WOK,KUNG PAO WOK,Restaurant,755 S GRAND CENTRAL Pkwy 1475,Las Vegas,Nevada,89106,A
Karaoke 'Q' Studio,Karaoke 'Q' Studio,Restaurant,3400 S Jones Blvd 11,Las Vegas,Nevada,89146-6785,A
Kentucky Fried Chicken 300049,Kentucky Fried Chicken,Restaurant,225 W Centennial Pkwy,North Las Vegas,Nevada,89031,A
LA SALSA CANTINA MEXICAN RESTAURANT,LA SALSA CANTINA @ MIRACLE MILE,Restaurant,3663 S Las Vegas Blvd 380,Las Vegas,Nevada,89109-1920,A
LAUGHLIN RIVER LODGE GENERAL STORE SNACK BAR,Laughlin River Lodge,Snack Bar,2700 S Casino Dr,Laughlin,Nevada,89029,A
LIQUOR WORLD - PARADISE SNACK BAR,LIQUOR WORLD PARADISE,Snack Bar,4501 PARADISE Rd K,Las Vegas,Nevada,89109,A
LJ'S Bar & Grill - BBQ,LJ'S Bar & Grill,Barbeque,1243 E Sahara Ave,Las Vegas,Nevada,89104-3402,A
M - Buffet Satellite Wait Stations,M Resort Spa & Casino,Banquet Support,12300 S Las Vegas Blvd,Henderson,Nevada,89044-9506,A
MABUHAY KITCHENETTE,MABUHAY KITCHENETTE,Restaurant,3957 S MARYLAND,Las Vegas,Nevada,89119,A
MCCARRAN NATHANS/JERSEY MIKES SHARED PREP KIT C GATE,TGI CONCESSIONS,Special Kitchen,5757 Wayne Newton Blvd,Las Vegas,Nevada,89111,A
MCCARRAN THE CLUB AT LAS BAR T3,THE CLUB AT LAS - MCCARRAN T3,Bar / Tavern,5757 WAYNE NEWTON Blvd,Las Vegas,Nevada,89119,A
MINUS 5 ICE LOUNGE,MANDALAY PLACE - MINUS 5,Bar / Tavern,3930 S Las Vegas Blvd 101,Las Vegas,Nevada,89119-1010,A
MIRAGE BUFFET SUSHI,MIRAGE HOTEL & CASINO,Buffet,3400 S Las Vegas Blvd,Las Vegas,Nevada,89109-8923,A
MIRAGE CENTER BAR PARLOR BAR,MIRAGE HOTEL & CASINO,Bar / Tavern,3400 S Las Vegas Blvd,Las Vegas,Nevada,89109-8923,A
MOLLY'S TAVERN SNACK BAR,MOLLY'S TAVERN,Restaurant,6935 N DURANGO 100,Las Vegas,Nevada,89131,A
