name,address,city,state,zip_code,current_score,current_grade,rating,review_count,restaurants_price_range2,restaurants_reservations,restaurants_delivery,restaurants_takeout,business_accepts_creditcards,accepts_apple_pay,good_for,bike_parking,good_for_kids,restaurants_good_for_groups,restaurants_attire,ambience,noise_level,alcohol,outdoor_seating,wifi,has_tv,caters,good_for_working,gender_neutral_restrooms,location_name,category_name,violations,current_demerits,inspection_demerits,inspection_score,inspection_grade,business_id,neighborhood,accepts_insurance,ages_allowed,byob,byob_corkage,best_nights,business_accepts_bitcoin,business_parking,byappointmentonly,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_meal,hair_specializes_in,happy_hour,music,open_24_hours,restaurants_counter_service,restaurants_table_service,smoking,wheelchair_accessible,accepts_google_pay,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
MOTHER'S CARE PHARMACY,3500 W 6TH ST STE #120,LOS ANGELES,CA,90020,98,A,4.0,5.0,$$,Null,Null,Null,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MOTHER'S WINGS - THINGS,2617 W VERNON AVE,LOS ANGELES,CA,90008,99,A,4.0,5.0,$,No,Yes,Yes,Yes,Null,Null,Yes,Yes,Yes,Casual,Null,Average,Null,Yes,Null,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MOUN OF TUNIS,7445 W SUNSET BLVD # B,LOS ANGELES,CA,90046,97,A,4.0,190.0,$$,Yes,No,Yes,Yes,Null,Dinner,No,Yes,Yes,Casual,Romantic,Quiet,Beer & Wine Only,No,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MOUNAI CAFE,6603 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,92,A,3.5,136.0,$$,No,Yes,Yes,Yes,No,Breakfast,Yes,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,No,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MOUNTAIN,3470 W 6TH ST STE 5,LOS ANGELES,CA,90020,96,A,4.0,100.0,$,No,No,Yes,Yes,No,"Breakfast, Brunch, Lunch, Dinner, Late Night",Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MOUNTAIN RESTAURANT,3500 W 6TH ST # 222,LOS ANGELES,CA,90020,90,A,3.5,10.0,$,No,No,Yes,Yes,Null,Null,Yes,Yes,Yes,Casual,Null,Average,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MOZZA TO GO,6610 MELROSE AVE,LOS ANGELES,CA,90038,97,A,3.5,257.0,$$,No,Yes,Yes,Yes,Null,Null,No,Yes,Yes,Casual,Casual,Average,No,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR ANGELOS PIZZA,3961 S WESTERN AVE,LOS ANGELES,CA,90062,93,A,3.5,24.0,$$,No,Yes,Yes,Yes,Null,Null,No,Yes,No,Casual,Casual,Quiet,Null,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR BOBA,700 WESTERN AVE # 102,LOS ANGELES,CA,90005,90,A,4.0,84.0,$,Null,Null,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Free,Null,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR BOSSAM,338 S WESTERN AVE # A-B,LOS ANGELES,CA,90020,90,A,4.0,435.0,$$,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR C BEVERLY HILLS,1224 BEVERWIL DR,LOS ANGELES,CA,90035,93,A,4.0,141.0,$$$,Null,Null,Null,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Free,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR CHURRO BAKERY,849 N ALAMEDA ST # #E112,LOS ANGELES,CA,90012,91,A,4.0,424.0,$,No,No,Yes,Yes,No,Dessert,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR COFFEE,537 S WESTERN AVE G,LOS ANGELES,CA,90020,94,A,3.0,499.0,$$,No,No,Yes,Yes,No,"Late Night, Dessert",Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR FISH MEX GRILL,4949 W SLAUSON AVE STE A2,LOS ANGELES,CA,90056,93,A,3.5,33.0,$,No,No,Yes,Yes,Null,Brunch,Yes,Yes,Yes,Casual,Null,Average,No,No,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR MARCEL GOURMET MARKET,6333 W 3RD ST STE #150,LOS ANGELES,CA,90036,96,A,4.0,1156.0,$$,Null,Null,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR MARCEL RESTAURANT & DELI,6333 W 3RD ST STE #236,LOS ANGELES,CA,90036,91,A,4.0,578.0,$$,Yes,Yes,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR PIZZA,350 E 1ST ST,LOS ANGELES,CA,90012,91,A,3.5,214.0,$$,Yes,Yes,Yes,Yes,No,Null,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR PIZZA FACTORY,3881 WILSHIRE BLVD # B,LOS ANGELES,CA,90010,94,A,3.5,196.0,$$,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR RAMEN,341 1/2 E 1ST ST,LOS ANGELES,CA,90012,93,A,3.5,902.0,$,No,No,No,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR T CO,6200 S WESTERN AVE,LOS ANGELES,CA,90047,97,A,5.0,1.0,$$$,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR WISDOM,3526 W SLAUSON AVE,LOS ANGELES,CA,90043,97,A,5.0,27.0,$,Null,Null,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MR. NOODLE,936 BROXTON AVE,LOS ANGELES,CA,90024,95,A,3.5,596.0,$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MRKT AT THE RESERVE,13031 JEFFERSON BLVD SPCE 120,LOS ANGELES,CA,90094,96,A,3.5,18.0,$$,No,No,Yes,Yes,No,"Breakfast, Lunch",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MRS. FISH,448 HILL ST,LOS ANGELES,CA,90013,92,A,4.0,547.0,$$,Yes,No,No,Yes,No,"Late Night, Dessert",No,No,Yes,Dressy,Trendy,Loud,Full Bar,No,Free,No,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MRS. G,6801 HOLLYWOOD BLVD STE 208,LOS ANGELES,CA,90028,94,A,3.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MRS. WINSTON,888 S FIGUEROA ST # 170,LOS ANGELES,CA,90017,98,A,4.5,26.0,$$,No,No,Yes,Yes,Yes,Lunch,Yes,Yes,Yes,Casual,Null,Average,No,Yes,No,No,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MS DONUTS,1353 GLENDALE BLVD,LOS ANGELES,CA,90026,93,A,4.5,56.0,$,No,No,Yes,No,No,Null,Yes,Yes,Yes,Casual,Null,Average,No,No,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MU GLE LE SSA GLE LE,4429 BEVERLY BLVD,LOS ANGELES,CA,90004,91,A,4.0,5.0,$,No,No,Yes,No,Null,Null,Null,Yes,Yes,Casual,Null,Null,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MUDDY PAW COFFEE,3320 SUNSET BLVD,LOS ANGELES,CA,90026,96,A,4.5,166.0,$$,Null,No,Yes,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Free,Null,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MUNCHIES,8859 W PICO BLVD,LOS ANGELES,CA,90035,93,A,4.0,62.0,$,No,No,Yes,Yes,No,Null,No,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MURAKAMI,7160 MELROSE AVE,LOS ANGELES,CA,90046,96,A,4.5,403.0,$$,Yes,No,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MUSASHIYA,1049 GAYLEY AVE,LOS ANGELES,CA,90024,90,A,3.5,159.0,$$,Yes,No,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MUSE ON 8TH,759 S LA BREA AVE,LOS ANGELES,CA,90036,95,A,4.0,183.0,$,No,No,Yes,Yes,Null,Null,Yes,Yes,Yes,Casual,Casual,Quiet,No,Yes,Free,No,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MUSH BAKERY,5224 W SUNSET BLVD,LOS ANGELES,CA,90027,94,A,5.0,18.0,$,Null,No,Yes,Yes,Null,Null,Yes,Yes,Yes,Casual,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MUSSO AND FRANK GRILL,6667 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,95,A,4.0,1058.0,$$$,Yes,No,No,Yes,No,Dinner,Yes,No,Yes,Dressy,Classy,Average,Full Bar,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MUSTARD SEED CAFE,1948 N HILLHURST AVE,LOS ANGELES,CA,90027,93,A,3.5,479.0,$$,No,No,Yes,Yes,Null,"Breakfast, Brunch, Lunch",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY DUNG SANDWICH SHOP,314 ORD ST,LOS ANGELES,CA,90012,91,A,4.0,70.0,$,No,No,Yes,No,No,Lunch,No,Yes,No,Casual,Null,Average,No,No,No,No,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY HOUSE,4163 W 3RD ST,LOS ANGELES,CA,90020,91,A,5.0,4.0,Null,Null,Null,Null,Yes,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY LIQUOR BANK,7420 S CENTRAL AVE,LOS ANGELES,CA,90001,93,A,4.5,2.0,$$,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY MOM'S BAKE SHOP,2434 W TEMPLE ST,LOS ANGELES,CA,90026,93,A,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY TACO,6300 YORK BLVD,LOS ANGELES,CA,90042,90,A,3.5,553.0,$,No,No,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY THAI,3407 W 6TH ST STE 100C,LOS ANGELES,CA,90020,91,A,4.0,363.0,$$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY THAI RESTAURANT,3407 W 6TH ST # 100C,LOS ANGELES,CA,90020,90,A,4.0,363.0,$$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MY TWO CENTS,5583 W PICO BLVD,LOS ANGELES,CA,90019,91,A,4.5,213.0,$$,No,No,Yes,Yes,Null,"Brunch, Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MYUNG DONG NOODLE HOUSE,698 IROLO ST STE 105,LOS ANGELES,CA,90005,90,A,4.0,85.0,$,No,Yes,Yes,Yes,No,Dinner,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MYUNG IN DUMPLINGS,3109 W OLYMPIC BLVD STE B,LOS ANGELES,CA,90006,94,A,4.0,571.0,$,No,No,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
MYUNGIN DUMPLINGS,3109 W OLYMPIC BLVD STE B,LOS ANGELES,CA,90006,86,B,4.0,571.0,$,No,No,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
N NAKA,3455 OVERLAND AVE,LOS ANGELES,CA,90034,93,A,4.5,495.0,$$$$,Yes,No,No,Yes,No,Dinner,No,No,Yes,Dressy,Classy,Quiet,Beer & Wine Only,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAAB CAFE,1269 WESTWOOD BLVD,LOS ANGELES,CA,90024,92,A,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAAN HUT,11551 SANTA MONICA BLVD # #2,LOS ANGELES,CA,90025,93,A,3.5,231.0,$,Yes,Yes,Yes,Yes,No,Lunch,Yes,Yes,No,Casual,Casual,Quiet,No,Yes,Free,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAE GO HYANG RESTAURANT,3516 W 8TH ST # #   A,LOS ANGELES,CA,90005,91,A,4.0,111.0,$$,No,No,Yes,Yes,No,Null,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAEMAMDU MANDU,3500 W 6TH ST # 100C,LOS ANGELES,CA,90020,94,A,5.0,7.0,Null,No,No,Yes,Yes,Null,Null,Yes,Yes,Yes,Null,Null,Average,No,No,Free,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAGAO,13050 SAN VICENTE BLVD,LOS ANGELES,CA,90049,97,A,4.0,264.0,$$,No,No,Yes,Yes,Null,Dinner,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAGILA MEAT PL,9407 W PICO BLVD,LOS ANGELES,CA,90035,93,A,3.5,84.0,$$,No,Yes,Yes,Yes,Null,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAGILA PIZZA,9411 W PICO BLVD,LOS ANGELES,CA,90035,92,A,3.5,167.0,$$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
NAIRI MEAT & DELI,5065 HOLLYWOOD BLVD # 108,LOS ANGELES,CA,90027,95,A,4.0,14.0,$,No,Yes,Yes,Yes,Null,Null,Yes,No,No,Casual,Null,Quiet,No,No,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
